epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89.1626,0.46485,1.73225,0.00554,0.87302,0.85776,0.96403,0.90588,0.38046,1.57433,0.00508,0.000885523,0.000885523,0.000885523
43,90.6767,0.53258,1.82201,0.00617,0.90125,0.84549,0.96538,0.89553,0.44206,1.48023,0.00588,0.000880023,0.000880023,0.000880023
44,92.212,0.56846,1.71977,0.0066,0.90599,0.80291,0.96805,0.8908,0.45057,1.40366,0.00591,0.000874524,0.000874524,0.000874524
45,93.6044,0.53838,1.68793,0.00596,0.90599,0.80291,0.96805,0.8908,0.45057,1.40366,0.00591,0.000869024,0.000869024,0.000869024
46,95.1797,0.54953,1.66592,0.0062,0.94772,0.77566,0.96978,0.90209,0.43414,1.35178,0.00574,0.000863525,0.000863525,0.000863525
47,96.7465,0.55296,1.80463,0.0066,0.80256,0.93776,0.9543,0.89263,0.41874,1.31919,0.00558,0.000858025,0.000858025,0.000858025
48,98.3051,0.56899,1.7266,0.00651,0.87016,0.90344,0.96141,0.89389,0.43306,1.29815,0.00586,0.000852526,0.000852526,0.000852526
49,99.7691,0.56631,1.6356,0.00619,0.87016,0.90344,0.96141,0.89389,0.43306,1.29815,0.00586,0.000847026,0.000847026,0.000847026
50,101.232,0.51011,1.72183,0.0064,0.8319,0.92244,0.96153,0.89725,0.42917,1.26795,0.00585,0.000841527,0.000841527,0.000841527
51,102.779,0.50275,1.71081,0.00582,0.84626,0.90027,0.94972,0.89078,0.38595,1.22676,0.00518,0.000836027,0.000836027,0.000836027
52,104.227,0.47479,1.56469,0.00523,0.81318,0.89427,0.94424,0.88975,0.383,1.21224,0.00512,0.000830528,0.000830528,0.000830528
53,105.641,0.51322,1.53633,0.0055,0.81318,0.89427,0.94424,0.88975,0.383,1.21224,0.00512,0.000825029,0.000825029,0.000825029
54,107.031,0.4859,1.44144,0.0054,0.82728,0.94982,0.94636,0.87811,0.39244,1.20296,0.0052,0.000819529,0.000819529,0.000819529
55,108.521,0.50605,1.67791,0.00629,0.85186,0.97397,0.96503,0.89937,0.40655,1.1678,0.00539,0.00081403,0.00081403,0.00081403
